instrument,id,score,sharpe,cagr,max_dd,metrics,grammar,params,run_id,name,blocks,rule_summary,stats,symbol,avg_sharpe,avg_calmar,avg_cagr,positive_fold_ratio
SENSEX,b679d810c1f4,2.579914637475353,2.595129290171565,0.4468355374252001,0.0783597319095981,,,,,,,,,,,,,
NIFTY,63313c52d1c6,1.4567527452812068,0.8603697122524314,0.0190164567434412,0.0145000179216729,,,,,,,,,,,,,
SENSEX,fdd8acb9c046,1.3028939599602476,1.240680278441606,0.047701369069213,0.0215700695572638,,,,,,,,,,,,,
NIFTY,39be02fe2810,1.2326744764377728,0.9382624322683074,0.0204071745839036,0.0144255447221631,,,,,,,,,,,,,
NIFTY,01f00e01a280,1.1112838913584382,1.4551709258270265,0.0865375426888087,0.0542514757428226,,,,,,,,,,,,,
SENSEX,b6d8b77166f0,1.0866149469163398,0.9564230353664324,0.0564326862359683,0.028768858211044,,,,,,,,,,,,,
NIFTY,e8d84540a94e,0.6192623709740587,0.3778495131012632,0.0071701581587139,0.0094063417837735,,,,,,,,,,,,,
NIFTY,aa958b4e09f8,0.5988403021049917,0.5854605506880922,0.0406890770300226,0.0514686420478618,,,,,,,,,,,,,
SENSEX,f2da95fc851e,0.480170285200195,0.313077017113445,0.0244743299133503,0.0229050229663614,,,,,,,,,,,,,
NIFTY,1ff959f3d3f6,0.2506098215815884,0.1532565633938689,0.0166743401952181,0.0418501515472532,,,,,,,,,,,,,
NIFTY,1a5aed5ac9ef,-0.0350549212129166,-0.2531359272317005,-0.0105818957436759,0.0336644051431123,,,,,,,,,,,,,
,7b86b33538e035d673b432525138d8ce0d3b8e5ca991b9e7d111c1e878d78838,2.307475681909676,,,,"{'avg_sharpe': 3.498506742254281, 'avg_cagr': 0.19650603923309917, 'avg_max_dd': -0.002236400911252381, 'positive_folds': 2, 'stability': 0.7878298270870367, 'fold_results': [{'cagr': 0.19082722470716695, 'volatility': 0.042852343859409704, 'sharpe': 3.2863365693413176, 'max_dd': -0.00347280182250474, 'calmar': 54.94906834894881, 'total_trades': 2}, {'cagr': 0.2021848537590314, 'volatility': 0.041012693165762254, 'sharpe': 3.710676915167244, 'max_dd': -0.0010000000000000221, 'calmar': 202.1848537590269, 'total_trades': 2}], 'score': 2.3074756819096756}","{'entry_type': 'RSI_REVERSION', 'filter_type': 'ADX_FILTER', 'exit_type': 'FIXED_RR', 'stop_type': 'PCT_STOP'}","{'rsi_period': 14, 'rsi_lower': 30, 'rsi_upper': 70, 'adx_period': 14, 'adx_threshold': 20, 'stop_pct': 0.02, 'rr_ratio': 1.5}",20260109_004649,,,,,,,,,
,22ed51d7777a6154a87320d8d20782460a585f5673d6ece407170dab2a6f32b2,1.8034419343236148,,,,"{'avg_sharpe': 1.7273991290792763, 'avg_cagr': 0.17611097799915953, 'avg_max_dd': -0.026756904715994408, 'positive_folds': 2, 'stability': -0.44145231965188647, 'fold_results': [{'cagr': 0.07204617422288773, 'volatility': 0.0770988641804933, 'sharpe': 0.28594680942738976, 'max_dd': -0.03195849525637606, 'calmar': 2.2543669107360036, 'total_trades': 1}, {'cagr': 0.28017578177543134, 'volatility': 0.07263697446833484, 'sharpe': 3.168851448731163, 'max_dd': -0.021555314175612756, 'calmar': 12.997991098288724, 'total_trades': 1}], 'score': 1.8034419343236148}","{'entry_type': 'EMA_CROSS', 'filter_type': 'RSI_FILTER', 'exit_type': 'FIXED_RR', 'stop_type': 'ATR_STOP'}","{'ema_fast': 10, 'ema_slow': 50, 'rsi_filter_period': 14, 'stop_atr_period': 14, 'stop_atr_mult': 1.5, 'rr_ratio': 1.5}",20260109_004649,,,,,,,,,
,220663f7aa2d7a2957efa56c29d82abfc35bb2ae77a8b7774c4e8c955d362fb1,1.4502680413739766,,,,"{'avg_sharpe': 0.2933700980526004, 'avg_cagr': 0.03131263333043255, 'avg_max_dd': -0.0004999999999999462, 'positive_folds': 1, 'stability': 0.7066299019473996, 'fold_results': [{'cagr': 0.0, 'volatility': 0.0, 'sharpe': 0.0, 'max_dd': 0.0, 'calmar': 0.0, 'total_trades': 0}, {'cagr': 0.0626252666608651, 'volatility': 0.02151764400099396, 'sharpe': 0.5867401961052008, 'max_dd': -0.0009999999999998925, 'calmar': 62.62526666087183, 'total_trades': 2}], 'score': 1.4502680413739766}","{'entry_type': 'RSI_REVERSION', 'filter_type': 'NONE', 'exit_type': 'TIME_EXIT', 'stop_type': 'PCT_STOP'}","{'rsi_period': 14, 'rsi_lower': 25, 'rsi_upper': 70, 'stop_pct': 0.01, 'max_bars': 10}",20260109_004649,,,,,,,,,
,b0a82b0bc7f640f42aff435d6e353619edc0dd686a472982ffad200472cc8019,1.2692350090634694,,,,"{'avg_sharpe': -0.670723666181984, 'avg_cagr': 0.09617504531734716, 'avg_max_dd': -0.008258109624601348, 'positive_folds': 1, 'stability': -2.1461664944705645, 'fold_results': [{'cagr': -0.00813850698036045, 'volatility': 0.015231904648369786, 'sharpe': -3.8168901606525485, 'max_dd': -0.0037810817074142686, 'calmar': -2.1524282229611087, 'total_trades': 3}, {'cagr': 0.20048859761505478, 'volatility': 0.06079259674080068, 'sharpe': 2.4754428282885805, 'max_dd': -0.012735137541788425, 'calmar': 15.742947177223787, 'total_trades': 2}], 'score': 1.2692350090634694}","{'entry_type': 'EMA_CROSS', 'filter_type': 'RSI_FILTER', 'exit_type': 'TIME_EXIT', 'stop_type': 'PCT_STOP'}","{'ema_fast': 9, 'ema_slow': 20, 'rsi_filter_period': 14, 'stop_pct': 0.01, 'max_bars': 20}",20260109_004649,,,,,,,,,
,b1893962c0a85fce2483b9d45accbe55f0494c8476bb580d1cae7634eca319e5,2.1886600968330168,,,,"{'avg_sharpe': 3.73025179870744, 'avg_cagr': 0.19330048416508394, 'avg_max_dd': -0.0005000000000000365, 'positive_folds': 1, 'stability': -2.73025179870744, 'fold_results': [{'cagr': 0.0, 'volatility': 0.0, 'sharpe': 0.0, 'max_dd': 0.0, 'calmar': 0.0, 'total_trades': 0}, {'cagr': 0.3866009683301679, 'volatility': 0.045117727501237666, 'sharpe': 7.46050359741488, 'max_dd': -0.001000000000000073, 'calmar': 386.6009683301396, 'total_trades': 2}], 'score': 2.1886600968330168}","{'entry_type': 'RSI_REVERSION', 'filter_type': 'NONE', 'exit_type': 'FIXED_RR', 'stop_type': 'PCT_STOP'}","{'rsi_period': 14, 'rsi_lower': 30, 'rsi_upper': 75, 'stop_pct': 0.02, 'rr_ratio': 2.0}",20260109_004705,,,,,,,,,
,cbd0c00a264191b789022a23e94b55f640b3a2663a10ec98cd6f064383d6ed8d,1.8034419343236148,,,,"{'avg_sharpe': 1.7273991290792763, 'avg_cagr': 0.17611097799915953, 'avg_max_dd': -0.026756904715994408, 'positive_folds': 2, 'stability': -0.44145231965188647, 'fold_results': [{'cagr': 0.07204617422288773, 'volatility': 0.0770988641804933, 'sharpe': 0.28594680942738976, 'max_dd': -0.03195849525637606, 'calmar': 2.2543669107360036, 'total_trades': 1}, {'cagr': 0.28017578177543134, 'volatility': 0.07263697446833484, 'sharpe': 3.168851448731163, 'max_dd': -0.021555314175612756, 'calmar': 12.997991098288724, 'total_trades': 1}], 'score': 1.8034419343236148}","{'entry_type': 'EMA_CROSS', 'filter_type': 'RSI_FILTER', 'exit_type': 'FIXED_RR', 'stop_type': 'ATR_STOP'}","{'ema_fast': 5, 'ema_slow': 200, 'rsi_filter_period': 14, 'stop_atr_period': 14, 'stop_atr_mult': 3.0, 'rr_ratio': 1.5}",20260109_004705,,,,,,,,,
,e488f5df782bd0009950c3dfc9e59a36949582ff3b7ad413a58c7aeaa57350e8,1.565047086077785,,,,"{'avg_sharpe': 0.9615100340852976, 'avg_cagr': 0.13297037926097804, 'avg_max_dd': -0.0023905408537071657, 'positive_folds': 1, 'stability': -3.778400194737846, 'fold_results': [{'cagr': -0.00813850698036045, 'volatility': 0.015231904648369786, 'sharpe': -3.8168901606525485, 'max_dd': -0.0037810817074142686, 'calmar': -2.1524282229611087, 'total_trades': 3}, {'cagr': 0.27407926550231654, 'volatility': 0.03903881011537346, 'sharpe': 5.739910228823144, 'max_dd': -0.001000000000000063, 'calmar': 274.0792655022993, 'total_trades': 2}], 'score': 1.565047086077785}","{'entry_type': 'EMA_CROSS', 'filter_type': 'RSI_FILTER', 'exit_type': 'TIME_EXIT', 'stop_type': 'LOW_HIGH_STOP'}","{'ema_fast': 10, 'ema_slow': 20, 'rsi_filter_period': 14, 'stop_lookback': 5, 'max_bars': 5}",20260109_004705,,,,,,,,,
,52f2cf6ab7db39451740a14da6afa89295331dd546bf6629bcc7fce839d71905,0.7422423558133437,,,,"{'avg_sharpe': 0.14297340471369488, 'avg_cagr': 0.03602308711144386, 'avg_max_dd': -0.01597924762818803, 'positive_folds': 1, 'stability': 0.8570265952863051, 'fold_results': [{'cagr': 0.07204617422288773, 'volatility': 0.0770988641804933, 'sharpe': 0.28594680942738976, 'max_dd': -0.03195849525637606, 'calmar': 2.2543669107360036, 'total_trades': 1}, {'cagr': 0.0, 'volatility': 0.0, 'sharpe': 0.0, 'max_dd': 0.0, 'calmar': 0.0, 'total_trades': 0}], 'score': 0.7422423558133437}","{'entry_type': 'EMA_CROSS', 'filter_type': 'ADX_FILTER', 'exit_type': 'FIXED_RR', 'stop_type': 'PCT_STOP'}","{'ema_fast': 9, 'ema_slow': 20, 'adx_period': 14, 'adx_threshold': 20, 'stop_pct': 0.05, 'rr_ratio': 3.0}",20260109_004705,,,,,,,,,
,3609bdf309b17e3b2098aa17564317dd0e55eb645ddcf61d3888e369af7290cf,1.966349188756918,,,,"{'avg_sharpe': 2.256751994156035, 'avg_cagr': 0.19661795255053893, 'avg_max_dd': -0.01077765708780633, 'positive_folds': 1, 'stability': -1.2567519941560348, 'fold_results': [{'cagr': 0.0, 'volatility': 0.0, 'sharpe': 0.0, 'max_dd': 0.0, 'calmar': 0.0, 'total_trades': 0}, {'cagr': 0.39323590510107786, 'volatility': 0.0760464388621132, 'sharpe': 4.51350398831207, 'max_dd': -0.02155531417561266, 'calmar': 18.243107100984812, 'total_trades': 1}], 'score': 1.966349188756918}","{'entry_type': 'RSI_REVERSION', 'filter_type': 'NONE', 'exit_type': 'TRAILING_ATR', 'stop_type': 'ATR_STOP'}","{'rsi_period': 14, 'rsi_lower': 20, 'rsi_upper': 75, 'stop_atr_period': 14, 'stop_atr_mult': 3.0, 'trail_atr_period': 14, 'trail_atr_mult': 2.0}",20260109_004743,,,,,,,,,
,528156c7cbd24671ebc282f2f1c3a4825412536f55e977c29bbd5e0f03a591b9,1.8034419343236148,,,,"{'avg_sharpe': 1.7273991290792763, 'avg_cagr': 0.17611097799915953, 'avg_max_dd': -0.026756904715994408, 'positive_folds': 2, 'stability': -0.44145231965188647, 'fold_results': [{'cagr': 0.07204617422288773, 'volatility': 0.0770988641804933, 'sharpe': 0.28594680942738976, 'max_dd': -0.03195849525637606, 'calmar': 2.2543669107360036, 'total_trades': 1}, {'cagr': 0.28017578177543134, 'volatility': 0.07263697446833484, 'sharpe': 3.168851448731163, 'max_dd': -0.021555314175612756, 'calmar': 12.997991098288724, 'total_trades': 1}], 'score': 1.8034419343236148}","{'entry_type': 'EMA_CROSS', 'filter_type': 'RSI_FILTER', 'exit_type': 'INDICATOR_EXIT', 'stop_type': 'PCT_STOP'}","{'ema_fast': 9, 'ema_slow': 20, 'rsi_filter_period': 14, 'stop_pct': 0.05}",20260109_004743,,,,,,,,,
,26c5f1e450336557dfbb3371331b5e9bc00493275b7c3efdc8fd0a54c83942bb,1.4502680413739766,,,,"{'avg_sharpe': 0.2933700980526004, 'avg_cagr': 0.03131263333043255, 'avg_max_dd': -0.0004999999999999462, 'positive_folds': 1, 'stability': 0.7066299019473996, 'fold_results': [{'cagr': 0.0, 'volatility': 0.0, 'sharpe': 0.0, 'max_dd': 0.0, 'calmar': 0.0, 'total_trades': 0}, {'cagr': 0.0626252666608651, 'volatility': 0.02151764400099396, 'sharpe': 0.5867401961052008, 'max_dd': -0.0009999999999998925, 'calmar': 62.62526666087183, 'total_trades': 2}], 'score': 1.4502680413739766}","{'entry_type': 'RSI_REVERSION', 'filter_type': 'NONE', 'exit_type': 'TRAILING_ATR', 'stop_type': 'LOW_HIGH_STOP'}","{'rsi_period': 14, 'rsi_lower': 25, 'rsi_upper': 80, 'stop_lookback': 3, 'trail_atr_period': 14, 'trail_atr_mult': 2.0}",20260109_004743,,,,,,,,,
,577be6f477c2e24f5c56d743f05f947dee817c85257c4c0e3c26041bd798a94b,1.2756345821813424,,,,"{'avg_sharpe': -2.0240241928716327, 'avg_cagr': 0.1281729109067125, 'avg_max_dd': -0.0037492661447304076, 'positive_folds': 1, 'stability': -6.342752574609243, 'fold_results': [{'cagr': -0.04444119815550873, 'volatility': 0.01008257167859334, 'sharpe': -9.366776767480875, 'max_dd': -0.0037810817074142686, 'calmar': -11.75356725784704, 'total_trades': 2}, {'cagr': 0.30078701996893376, 'volatility': 0.04715168776620297, 'sharpe': 5.31872838173761, 'max_dd': -0.003717450582046546, 'calmar': 80.91217713063538, 'total_trades': 2}], 'score': 1.2756345821813424}","{'entry_type': 'EMA_CROSS', 'filter_type': 'RSI_FILTER', 'exit_type': 'FIXED_RR', 'stop_type': 'LOW_HIGH_STOP'}","{'ema_fast': 10, 'ema_slow': 100, 'rsi_filter_period': 14, 'stop_lookback': 3, 'rr_ratio': 3.0}",20260109_004743,,,,,,,,,
,fd8cb2d1ec6ada508e0f8c463ba91a64aa5a6e3db2e640861db9f2597c200fdf,0.7422423558133437,,,,"{'avg_sharpe': 0.14297340471369488, 'avg_cagr': 0.03602308711144386, 'avg_max_dd': -0.01597924762818803, 'positive_folds': 1, 'stability': 0.8570265952863051, 'fold_results': [{'cagr': 0.07204617422288773, 'volatility': 0.0770988641804933, 'sharpe': 0.28594680942738976, 'max_dd': -0.03195849525637606, 'calmar': 2.2543669107360036, 'total_trades': 1}, {'cagr': 0.0, 'volatility': 0.0, 'sharpe': 0.0, 'max_dd': 0.0, 'calmar': 0.0, 'total_trades': 0}], 'score': 0.7422423558133437}","{'entry_type': 'EMA_CROSS', 'filter_type': 'NONE', 'exit_type': 'TRAILING_ATR', 'stop_type': 'ATR_STOP'}","{'ema_fast': 20, 'ema_slow': 200, 'stop_atr_period': 14, 'stop_atr_mult': 1.5, 'trail_atr_period': 14, 'trail_atr_mult': 3.0}",20260109_004743,,,,,,,,,
NIFTY,cb1da1de6394b10685ceb52afb1651ed88e019da28da65b20d3e9059941f7ccf,0.3153335382488925,,,,"{'avg_sharpe': -0.42073458392610097, 'avg_cagr': 0.024196015200754817, 'avg_max_dd': -0.019481849149106157, 'positive_folds': 1, 'stability': -3.293452492110708, 'fold_results': [{'cagr': -0.2177089091142187, 'volatility': 0.05678792648578556, 'sharpe': -4.714187076036809, 'max_dd': -0.031213309680769227, 'calmar': -6.974874223234036, 'total_trades': 2}, {'cagr': 0.26610093951572833, 'volatility': 0.05580084701212561, 'sharpe': 3.872717908184607, 'max_dd': -0.0077503886174430875, 'calmar': 34.333883454158595, 'total_trades': 2}], 'score': 0.31533353824889254}","{'entry_type': 'EMA_CROSS', 'filter_type': 'RSI_FILTER', 'exit_type': 'TIME_EXIT', 'stop_type': 'PCT_STOP'}","{'ema_fast': 10, 'ema_slow': 200, 'rsi_filter_period': 14, 'stop_pct': 0.05, 'max_bars': 10}",20260109_005038,,,,,,,,,
SENSEX,33472544087966e2ea0d31f08afe95df1ecf36c48ede75ded87126ce5faf3c4b,0.3405745416312501,,,,"{'avg_sharpe': -0.5795745624488752, 'avg_cagr': 0.07402087666596013, 'avg_max_dd': -0.056804488931197, 'positive_folds': 1, 'stability': -1.1810637073111447, 'fold_results': [{'cagr': 0.20908920739408354, 'volatility': 0.09933829892288497, 'sharpe': 1.6014891448622695, 'max_dd': -0.05444101946392378, 'calmar': 3.840655620577419, 'total_trades': 1}, {'cagr': -0.061047454062163276, 'volatility': 0.04022528242058187, 'sharpe': -2.76063826976002, 'max_dd': -0.05916795839847022, 'calmar': -1.0317654303877697, 'total_trades': 8}], 'score': 0.3405745416312501}","{'entry_type': 'DONCHIAN_BREAKOUT', 'filter_type': 'ADX_FILTER', 'exit_type': 'INDICATOR_EXIT', 'stop_type': 'PCT_STOP'}","{'donchian_period': 55, 'adx_period': 14, 'adx_threshold': 20, 'stop_pct': 0.01}",20260109_005038,,,,,,,,,
,adc5534fac2cfd972f83fd791236a226,0.4802048256558936,,,,,,"{'bb_period': 25, 'bb_std': 1.5, 'max_bars': 5}",,Auto_mean_rev_2blocks,"[{'type': 'mean_rev', 'subtype': 'bollinger', 'param_keys': ['bb_period', 'bb_std']}, {'type': 'exit', 'subtype': 'time_stop', 'param_keys': ['max_bars']}]",mean_rev(bollinger) + exit(time_stop),"{'avg_sharpe': np.float64(0.704748082389317), 'avg_calmar': np.float64(0.9954145178845827), 'avg_cagr': np.float64(0.09963385733976415), 'positive_fold_ratio': 1.0}",SENSEX,0.704748082389317,0.9954145178845827,0.09963385733976415,1.0
